brand,name,type,size,stock_units,last_import_date,days_since_import,status
Kinh Do,Milk,Vegan,500g,214,2024-03-16,46,Active
Bibica,Milk,Sweetened,500g,337,2024-03-23,39,Active
Nestle,Soft drink,Lemon soda,380g,503,2023-08-14,261,Dead stock
Sabeco,Candy,Hard candy,380g,306,2024-03-08,54,Active
Kinh Do,Instant noodle,Beef,500g,595,2023-06-14,322,Dead stock
Orion,Soft drink,Cola,330ml,578,2023-07-24,282,Dead stock
Kinh Do,Instant noodle,Spicy,380g,99,2023-11-13,170,Slow moving
Vinamilk,Soft drink,Green tea,380g,1127,2023-07-15,291,Dead stock
Neptune,Milk,Unsweetened,500g,300,2024-03-19,43,Active
Sabeco,Milk,Vegan,180ml,953,2023-05-27,340,Dead stock
Pepsi,Instant noodle,Beef,50g,149,2024-03-14,48,Active
Sabeco,Milk,Vegan,1L,432,2022-12-24,494,Dead stock
Pepsi,Milk,Low fat,180ml,316,2023-11-24,159,Slow moving
Orion,Cooking oil,Vegan,1L,117,2024-02-05,86,Active
Kinh Do,Soft drink,Energy drink,2L,968,2023-04-16,381,Dead stock
Orion,Soft drink,Cola,5L,798,2023-05-15,352,Dead stock
Sabeco,Soft drink,Energy drink,180ml,1074,2023-01-03,484,Dead stock
Orion,Cooking oil,Vegetable,5L,58,2024-03-07,55,Active
Nestle,Soft drink,Cola,180ml,1087,2023-04-29,368,Dead stock
Tan Hiep Phat,Milk,Vegan,180ml,1109,2023-09-26,218,Dead stock
Kinh Do,Milk,Low fat,500g,374,2024-01-01,121,Slow moving
Neptune,Cooking oil,Vegan,500ml,193,2024-03-25,37,Active
Coca-Cola,Candy,Fruit flavored,500g,199,2024-03-15,47,Active
Bibica,Cooking oil,Vegetable,1L,212,2024-02-13,78,Active
Nestle,Instant noodle,Spicy,50g,91,2024-04-09,22,Active
Nestle,Candy,Hard candy,180ml,183,2024-04-23,8,Active
Tan Hiep Phat,Candy,Hard candy,50g,580,2023-03-28,400,Dead stock
Masan,Milk,Condensed,500ml,1082,2023-08-27,248,Dead stock
Tan Hiep Phat,Instant noodle,Chicken,180ml,352,2024-03-08,54,Active
Orion,Milk,Unsweetened,100g,244,2024-02-05,86,Active
Neptune,Cooking oil,Vegetable,50g,210,2023-11-05,178,Slow moving
Kinh Do,Soft drink,Green tea,200g,314,2024-03-30,32,Active
Sabeco,Cooking oil,Vegetable,500g,365,2024-01-15,107,Slow moving
Vinamilk,Milk,Low fat,200g,588,2023-07-11,295,Dead stock
Tan Hiep Phat,Soft drink,Lemon soda,50g,992,2023-03-28,400,Dead stock
Coca-Cola,Milk,Unsweetened,200g,878,2022-12-26,492,Dead stock
TH True Milk,Cooking oil,Sunflower,5L,334,2024-03-28,34,Active
Sabeco,Instant noodle,Beef,330ml,148,2024-02-07,84,Active
TH True Milk,Cooking oil,Sunflower,2L,368,2023-10-04,210,Dead stock
TH True Milk,Cooking oil,Olive,50g,565,2023-05-30,337,Dead stock
Bibica,Milk,Condensed,1L,346,2024-04-13,18,Active
Orion,Cooking oil,Vegetable,200g,673,2023-09-05,239,Dead stock
TH True Milk,Candy,Hard candy,50g,354,2024-02-19,72,Active
Bibica,Milk,Vegan,2L,438,2023-03-24,404,Dead stock
Orion,Instant noodle,Spicy,500ml,122,2024-03-26,36,Active
Masan,Cooking oil,Vegan,1L,100,2024-04-07,24,Active
Coca-Cola,Milk,Low fat,5L,1113,2023-09-29,215,Dead stock
Sabeco,Instant noodle,Spicy,500ml,72,2024-04-05,26,Active
Coca-Cola,Instant noodle,Spicy,200g,78,2024-02-25,66,Active
Kinh Do,Soft drink,Energy drink,380g,617,2023-09-03,241,Dead stock
Bibica,Milk,Sweetened,500ml,364,2024-03-31,31,Active
Coca-Cola,Cooking oil,Sunflower,500ml,209,2024-02-21,70,Active
Vinamilk,Milk,Vegan,330ml,693,2023-07-03,303,Dead stock
Sabeco,Candy,Hard candy,380g,72,2024-04-11,20,Active
Orion,Cooking oil,Sunflower,180ml,455,2023-04-10,387,Dead stock
Kinh Do,Soft drink,Cola,500ml,704,2023-03-14,414,Dead stock
Neptune,Cooking oil,Olive,380g,657,2023-08-23,252,Dead stock
TH True Milk,Cooking oil,Vegan,500g,285,2024-04-15,16,Active
TH True Milk,Candy,Hard candy,2L,300,2024-01-13,109,Slow moving
Nestle,Candy,Gummy,330ml,1081,2023-08-06,269,Dead stock
Pepsi,Soft drink,Cola,100g,714,2022-12-29,489,Dead stock
Tan Hiep Phat,Instant noodle,Chicken,380g,145,2023-12-07,146,Slow moving
Orion,Cooking oil,Vegan,2L,308,2024-04-14,17,Active
Vinamilk,Cooking oil,Vegetable,1L,122,2024-03-05,57,Active
Kinh Do,Milk,Sweetened,50g,269,2024-03-04,58,Active
Sabeco,Soft drink,Orange soda,500ml,391,2023-12-13,140,Slow moving
Coca-Cola,Cooking oil,Vegan,100g,443,2023-04-09,388,Dead stock
Tan Hiep Phat,Instant noodle,Spicy,50g,1194,2023-06-17,319,Dead stock
Masan,Soft drink,Cola,200g,82,2024-02-16,75,Active
Sabeco,Candy,Chocolate,2L,182,2024-04-02,29,Active
Masan,Cooking oil,Olive,50g,157,2024-04-04,27,Active
Coca-Cola,Soft drink,Cola,380g,55,2024-02-06,85,Active
Nestle,Cooking oil,Olive,500g,57,2024-03-20,42,Active
Neptune,Milk,Unsweetened,100g,368,2024-02-25,66,Active
Pepsi,Cooking oil,Vegetable,2L,1106,2023-10-20,194,Dead stock
Orion,Instant noodle,Beef,100g,358,2024-03-12,50,Active
Orion,Soft drink,Lemon soda,100g,228,2023-11-16,167,Slow moving
TH True Milk,Candy,Chocolate,330ml,230,2024-03-14,48,Active
Coca-Cola,Cooking oil,Olive,1L,1044,2023-07-05,301,Dead stock
Vinamilk,Instant noodle,Spicy,380g,177,2023-12-24,129,Slow moving
Coca-Cola,Milk,Unsweetened,500ml,149,2024-04-24,7,Active
Sabeco,Soft drink,Green tea,2L,1056,2023-09-21,223,Dead stock
Kinh Do,Cooking oil,Vegetable,2L,104,2023-12-16,137,Slow moving
Orion,Cooking oil,Vegan,5L,109,2024-02-26,65,Active
Coca-Cola,Milk,Sweetened,380g,465,2023-08-10,265,Dead stock
Masan,Instant noodle,Chicken,330ml,257,2024-03-20,42,Active
Sabeco,Cooking oil,Vegan,380g,396,2024-03-10,52,Active
Vinamilk,Cooking oil,Vegan,380g,350,2024-02-19,72,Active
Kinh Do,Soft drink,Green tea,50g,379,2023-10-29,185,Dead stock
TH True Milk,Cooking oil,Vegan,100g,168,2023-11-11,172,Slow moving
Bibica,Cooking oil,Vegetable,200g,361,2024-04-03,28,Active
Tan Hiep Phat,Milk,Sweetened,330ml,1170,2023-01-09,478,Dead stock
Nestle,Cooking oil,Vegan,180ml,264,2024-02-27,64,Active
Pepsi,Instant noodle,Spicy,50g,90,2024-04-10,21,Active
Vinamilk,Cooking oil,Olive,50g,313,2023-11-20,163,Slow moving
Pepsi,Instant noodle,Beef,500ml,878,2023-11-01,182,Dead stock
Pepsi,Soft drink,Green tea,5L,279,2024-03-06,56,Active
